word,source_detail,pos,level,meaning
abolish,v. C1,동사,C1,폐지하다
abortion,n. C1,명사,C1,낙태
absence,n. C1,명사,C1,부재
absent,adj. C1,형용사,C1,결석
absorb,v. B2,동사,B2,흡수하다
abstract,adj. B2,형용사,B2,추상
absurd,adj. C1,형용사,C1,터무니없는
abuse,"n., v. C1",명사·동사,C1,"학대, 남용; 학대하다, 남용하다"
academy,n. C1,명사,C1,아카데미
accelerate,v. C1,동사,C1,가속하다
accent,n. B2,명사,B2,악센트
acceptance,n. C1,명사,C1,수용
accessible,adj. C1,형용사,C1,접근 가능
accidentally,adv. B2,부사,B2,우연히
accommodate,v. B2,동사,B2,수용하다
accommodation,n. B2,명사,B2,숙소
accomplish,v. B2,동사,B2,성취하다
accomplishment,n. C1,명사,C1,성취
accordingly,adv. C1,부사,C1,따라서
accountability,n. C1,명사,C1,책임
accountable,adj. C1,형용사,C1,책임이 있는
accountant,n. B2,명사,B2,회계사
accumulate,v. C1,동사,C1,축적하다
accumulation,n. C1,명사,C1,축적
accuracy,n. B2,명사,B2,정확성
accurately,adv. B2,부사,B2,정확하게
accusation,n. C1,명사,C1,비난
accused,n. C1,명사,C1,피고인
acid,"n. B2, adj. C1",명사 / 형용사,B2 / C1,산; 신맛의
acquisition,n. C1,명사,C1,획득
acre,n. B2,명사,B2,에이커
activate,v. B2,동사,B2,활성화하다
activation,n. C1,명사,C1,활성화
activist,n. C1,명사,C1,활동가
acute,adj. C1,형용사,C1,급성
adaptation,n. C1,명사,C1,적응
addiction,n. B2,명사,B2,중독
additionally,adv. B2,부사,B2,추가적으로
adequate,adj. B2,형용사,B2,적절한
adequately,adv. B2,부사,B2,적절하게
adhere,v. C1,동사,C1,고수하다
adjacent,adj. C1,형용사,C1,인접한
adjust,v. B2,동사,B2,조정하다
adjustment,n. C1,명사,C1,조정
administer,v. C1,동사,C1,관리하다
administrative,adj. C1,형용사,C1,행정
administrator,n. C1,명사,C1,관리자
admission,n. C1,명사,C1,입학
adolescent,n. C1,명사,C1,청소년
adoption,n. C1,명사,C1,입양
adverse,adj. C1,형용사,C1,불리한
advocate,"n., v. C1",명사·동사,C1,옹호자; 옹호하다
aesthetic,adj. C1,형용사,C1,미적
affection,n. C1,명사,C1,애정
affordable,adj. B2,형용사,B2,저렴한
aftermath,n. C1,명사,C1,여파
aged,adj. B2,형용사,B2,노인들
aggression,n. C1,명사,C1,공격성
agricultural,adj. C1,형용사,C1,농업
agriculture,n. B2,명사,B2,농업
aide,n. C1,명사,C1,보좌관
AIDS,n. B2,명사,B2,에이즈
alert,"v., n., adj. C1",동사·명사·형용사,C1,경계하다; 경보; 기민한
alien,"n. B2, adj. C1",명사 / 형용사,B2 / C1,외국인; 낯선
align,v. C1,동사,C1,정렬
alignment,n. C1,명사,C1,정렬
alike,"adv., adj. C1",부사·형용사,C1,똑같이
allegation,n. C1,명사,C1,주장
allege,v. C1,동사,C1,주장하다
allegedly,adv. C1,부사,C1,혐의로
alliance,n. C1,명사,C1,동맹
allocate,v. C1,동사,C1,할당하다
allocation,n. C1,명사,C1,할당
allowance,n. C1,명사,C1,수당
ally,n. C1,명사,C1,동맹
alongside,prep. B2,전치사,B2,나란히
altogether,adv. B2,부사,B2,전혀
aluminum,n. C1,명사,C1,알루미늄
amateur,"adj., n. C1",형용사·명사,C1,아마추어
ambassador,n. C1,명사,C1,대사
ambitious,adj. B2,형용사,B2,야심찬
ambulance,n. B2,명사,B2,구급차
amend,v. C1,동사,C1,수정하다
amendment,n. C1,명사,C1,수정안
amid,prep. C1,전치사,C1,가운데
amusing,adj. B2,형용사,B2,재미있는
analogy,n. C1,명사,C1,비유
analyst,n. B2,명사,B2,분석가
ancestor,n. B2,명사,B2,조상
anchor,n. C1,명사,C1,앵커
angel,n. C1,명사,C1,천사
animation,n. B2,명사,B2,애니메이션
annually,adv. B2,부사,B2,매년
anonymous,adj. C1,형용사,C1,익명
anticipate,v. B2,동사,B2,예상하다
anxiety,n. B2,명사,B2,불안
apology,n. B2,명사,B2,사과
apparatus,n. C1,명사,C1,장치
apparel,n. C1,명사,C1,의류
appealing,adj. C1,형용사,C1,매력적인
appetite,n. C1,명사,C1,식욕
applaud,v. C1,동사,C1,박수를 보내다
applicable,adj. C1,형용사,C1,해당
applicant,n. B2,명사,B2,지원자
appoint,v. C1,동사,C1,임명하다
appreciation,n. C1,명사,C1,감사
appropriately,adv. B2,부사,B2,적절하게
arbitrary,adj. C1,형용사,C1,임의의
architectural,adj. C1,형용사,C1,건축
archive,n. C1,명사,C1,아카이브
arena,n. C1,명사,C1,경기장
arm,v. C1,동사,C1,팔
array,n. C1,명사,C1,배열
arrow,n. B2,명사,B2,화살
articulate,v. C1,동사,C1,명확하게 표현하다
artwork,n. B2,명사,B2,삽화
ash,n. C1,명사,C1,재
aspiration,n. C1,명사,C1,포부
aspire,v. C1,동사,C1,열망하다
assassination,n. C1,명사,C1,암살
assault,"n., v. C1",명사·동사,C1,폭행
assemble,v. C1,동사,C1,조립하다
assembly,n. C1,명사,C1,조립
assert,v. C1,동사,C1,주장하다
assertion,n. C1,명사,C1,주장
asset,n. B2,명사,B2,자산
assign,v. B2,동사,B2,할당하다
assistance,n. B2,명사,B2,도움
assumption,n. B2,명사,B2,가정
assurance,n. C1,명사,C1,보증
assure,v. B2,동사,B2,확신하다
astonishing,adj. B2,형용사,B2,놀라운
asylum,n. C1,명사,C1,망명
athletic,adj. B2,형용사,B2,운동의
atrocity,n. C1,명사,C1,잔학행위
attachment,n. B2,명사,B2,첨부 파일
attain,v. C1,동사,C1,달성하다
attendance,n. C1,명사,C1,출석
attribute,"v., n. C1",동사·명사,C1,속성
auction,n. C1,명사,C1,경매
audio,adj. B2,형용사,B2,오디오
audit,n. C1,명사,C1,감사
authentic,adj. C1,형용사,C1,본격적인
authorize,v. C1,동사,C1,승인하다
auto,n. C1,명사,C1,자동
autonomy,n. C1,명사,C1,자율성
autumn,n. C1,명사,C1,가을
availability,n. C1,명사,C1,가용성
await,v. C1,동사,C1,기다리다
awareness,n. B2,명사,B2,인식
awkward,adj. B2,형용사,B2,어색하다
backdrop,n. C1,명사,C1,배경
backing,n. C1,명사,C1,후원
backup,n. C1,명사,C1,백업
badge,n. B2,명사,B2,배지
bail,n. C1,명사,C1,보석금
balanced,adj. B2,형용사,B2,균형 잡힌
ballet,n. B2,명사,B2,발레
balloon,n. B2,명사,B2,풍선
ballot,n. C1,명사,C1,투표용지
bankruptcy,n. C1,명사,C1,파산
banner,n. C1,명사,C1,배너
bare,adj. C1,형용사,C1,벌거벗은
barely,adv. B2,부사,B2,간신히
bargain,n. B2,명사,B2,흥정하다
barrel,n. C1,명사,C1,배럴
basement,n. B2,명사,B2,지하실
basket,n. B2,명사,B2,바구니
bass1,n. C1,명사,C1,베이스1
bat,"n. B2, v. C1",명사 / 동사,B2 / C1,박쥐
battlefield,n. C1,명사,C1,전장
bay,n. C1,명사,C1,만
beam,n. C1,명사,C1,빔
beast,n. C1,명사,C1,짐승
behalf,n. C1,명사,C1,대신하여
behavioral,adj. C1,형용사,C1,행동
beloved,adj. C1,형용사,C1,사랑하는
bench,n. C1,명사,C1,벤치
benchmark,n. C1,명사,C1,벤치마크
beneath,prep. C1,전치사,C1,아래에
beneficial,adj. B2,형용사,B2,유익한
beneficiary,n. C1,명사,C1,수혜자
beside,prep. B2,전치사,B2,옆에
besides,"prep., adv. B2",전치사·부사,B2,게다가
betray,v. C1,동사,C1,배신하다
beverage,n. C1,명사,C1,음료수
bias,n. B2,명사,B2,편견
bid,"n., v. B2",명사·동사,B2,입찰
bind,v. C1,동사,C1,바인딩
biography,n. C1,명사,C1,전기
biological,adj. B2,형용사,B2,생물학적
bishop,n. C1,명사,C1,주교
bizarre,adj. C1,형용사,C1,기괴한
blade,n. C1,명사,C1,블레이드
blanket,n. B2,명사,B2,담요
blast,"n., v. C1",명사·동사,C1,폭발
bleed,v. C1,동사,C1,출혈
blend,"v., n. C1",동사·명사,C1,블렌드
bless,v. C1,동사,C1,축복하다
blessing,n. C1,명사,C1,축복
blow,n. B2,명사,B2,타격
boast,v. C1,동사,C1,자랑하다
bold,adj. B2,형용사,B2,대담한
bombing,n. B2,명사,B2,폭격
bonus,n. C1,명사,C1,보너스
booking,n. C1,명사,C1,예약
boom,n. C1,명사,C1,붐
boost,"v., n. B2",동사·명사,B2,부스트
bounce,v. C1,동사,C1,바운스
bound,adj. B2,형용사,B2,경계
boundary,n. C1,명사,C1,경계
